FPR,TPR,Threshold
0.0,0.0,1.8176050596628963
0.0,0.03225806451612903,0.8176050596628962
0.0,0.3548387096774194,0.6704697028140231
0.030303030303030304,0.3548387096774194,0.6647141669691461
0.030303030303030304,0.3870967741935484,0.6418700020468043
0.12121212121212122,0.3870967741935484,0.6192140338048338
0.12121212121212122,0.41935483870967744,0.6016430800165204
0.15151515151515152,0.41935483870967744,0.5984360293024167
0.15151515151515152,0.45161290322580644,0.5964351395007287
0.18181818181818182,0.45161290322580644,0.5843683590355518
0.18181818181818182,0.4838709677419355,0.5798869549455731
0.21212121212121213,0.4838709677419355,0.5729934762909541
0.21212121212121213,0.5161290322580645,0.5725608637599613
0.24242424242424243,0.5161290322580645,0.5713299343531859
0.24242424242424243,0.6451612903225806,0.5447226318675059
0.2727272727272727,0.6451612903225806,0.5429722651434057
0.2727272727272727,0.6774193548387096,0.5429192007814121
0.36363636363636365,0.6774193548387096,0.5392111101369531
0.36363636363636365,0.7419354838709677,0.5239603476038108
0.42424242424242425,0.7419354838709677,0.49411074884296047
0.42424242424242425,0.7741935483870968,0.4835220582331329
0.5454545454545454,0.7741935483870968,0.47364812864061506
0.5454545454545454,0.8064516129032258,0.4711987577297593
0.6363636363636364,0.8064516129032258,0.44435984519093813
0.6363636363636364,0.8709677419354839,0.4242933108006161
0.696969696969697,0.8709677419354839,0.3692667752947123
0.696969696969697,0.9032258064516129,0.35865080970555924
0.8484848484848485,0.9032258064516129,0.2902129225268219
0.8484848484848485,0.9354838709677419,0.2726765032622561
0.9696969696969697,0.9354838709677419,0.1836830890811288
0.9696969696969697,1.0,0.17745177091041658
1.0,1.0,0.1764975023348413
